"","Country","2016 Estimates for 2015","Human Development"
"1","Norway","0.949","Very High"
"2","Australia","0.939","Very High"
"3","Switzerland","0.939","Very High"
"4","Germany","0.926","Very High"
"5","Denmark","0.925","Very High"
"6","Singapore","0.925","Very High"
"7","Netherlands","0.924","Very High"
"8","Ireland","0.923","Very High"
"9","Iceland","0.921","Very High"
"10","Canada","0.920","Very High"
"11","United States","0.920","Very High"
"12","Hong Kong","0.917","Very High"
"13","New Zealand","0.915","Very High"
"14","Sweden","0.913","Very High"
"15","Liechtenstein","0.912","Very High"
"16","United Kingdom","0.909","Very High"
"17","Japan","0.903","Very High"
"18","South Korea","0.901","Very High"
"19","Israel","0.899","Very High"
"20","Luxembourg","0.898","Very High"
"21","France","0.897","Very High"
"22","Belgium","0.896","Very High"
"23","Finland","0.895","Very High"
"24","Austria","0.893","Very High"
"25","Slovenia","0.890","Very High"
"26","Italy","0.887","Very High"
"27","Spain","0.884","Very High"
"28","Czech Republic","0.878","Very High"
"29","Greece","0.866","Very High"
"30","Brunei","0.865","Very High"
"31","Estonia","0.865","Very High"
"32","Andorra","0.858","Very High"
"33","Cyprus","0.856","Very High"
"34","Malta","0.856","Very High"
"35","Qatar","0.856","Very High"
"36","Poland","0.855","Very High"
"37","Lithuania","0.848","Very High"
"38","Chile","0.847","Very High"
"39","Saudi Arabia","0.847","Very High"
"40","Slovakia","0.845","Very High"
"41","Portugal","0.843","Very High"
"42","United Arab Emirates","0.840","Very High"
"43","Hungary","0.836","Very High"
"44","Latvia","0.830","Very High"
"45","Argentina","0.827","Very High"
"46","Croatia","0.827","Very High"
"47","Bahrain","0.824","Very High"
"48","Montenegro","0.807","Very High"
"49","Russia","0.804","Very High"
"50","Romania","0.802","Very High"
"51","Kuwait","0.800","Very High"
"52","Belarus","0.796","High"
"53","Oman","0.796","High"
"54","Barbados","0.795","High"
"55","Uruguay","0.795","High"
"56","Bulgaria","0.794","High"
"57","Kazakhstan","0.794","High"
"58","Bahamas","0.792","High"
"59","Malaysia","0.789","High"
"60","Palau","0.788","High"
"61","Panama","0.788","High"
"62","Antigua and Barbuda","0.786","High"
"63","Seychelles","0.782","High"
"64","Mauritius","0.781","High"
"65","Trinidad and Tobago","0.780","High"
"66","Costa Rica","0.776","High"
"67","Serbia","0.776","High"
"68","Cuba","0.775","High"
"69","Iran","0.774","High"
"70","Georgia","0.769","High"
"71","Turkey","0.767","High"
"72","Venezuela","0.767","High"
"73","Sri Lanka","0.766","High"
"74","Saint Kitts and Nevis","0.765","High"
"75","Albania","0.764","High"
"76","Lebanon","0.763","High"
"77","Mexico","0.762","High"
"78","Azerbaijan","0.759","High"
"79","Brazil","0.754","High"
"80","Grenada","0.754","High"
"81","Bosnia and Herzegovina","0.750","High"
"82","Macedonia","0.748","High"
"83","Algeria","0.745","High"
"84","Armenia","0.743","High"
"85","Ukraine","0.743","High"
"86","Jordan","0.741","High"
"87","Peru","0.740","High"
"88","Thailand","0.740","High"
"89","Ecuador","0.739","High"
"90","China","0.738","High"
"91","Fiji","0.736","High"
"92","Mongolia","0.735","High"
"93","Saint Lucia","0.735","High"
"94","Jamaica","0.730","High"
"95","Colombia","0.727","High"
"96","Dominica","0.726","High"
"97","Suriname","0.725","High"
"98","Tunisia","0.725","High"
"99","Dominican Republic","0.722","High"
"100","Saint Vincent and the Grenadines","0.722","High"
"101","Tonga","0.721","High"
"102","World","0.717","High"
"103","Libya","0.716","High"
"104","Belize","0.706","High"
"105","Samoa","0.704","High"
"106","Maldives","0.701","High"
"107","Uzbekistan","0.701","High"
"108","Moldova","0.699","Medium"
"109","Botswana","0.698","Medium"
"110","Gabon","0.697","Medium"
"111","Paraguay","0.693","Medium"
"112","Egypt","0.691","Medium"
"113","Turkmenistan","0.691","Medium"
"114","Indonesia","0.689","Medium"
"115","Palestine","0.684","Medium"
"116","Vietnam","0.683","Medium"
"117","Philippines","0.682","Medium"
"118","El Salvador","0.680","Medium"
"119","Bolivia","0.674","Medium"
"120","South Africa","0.666","Medium"
"121","Kyrgyzstan","0.664","Medium"
"122","Iraq","0.649","Medium"
"123","Cape Verde","0.648","Medium"
"124","Morocco","0.647","Medium"
"125","Nicaragua","0.645","Medium"
"126","Guatemala","0.640","Medium"
"127","Namibia","0.640","Medium"
"128","Guyana","0.638","Medium"
"129","Micronesia","0.638","Medium"
"130","Tajikistan","0.627","Medium"
"131","Honduras","0.625","Medium"
"132","India","0.624","Medium"
"133","Bhutan","0.607","Medium"
"134","Timor Leste","0.605","Medium"
"135","Vanuatu","0.597","Medium"
"136","Congo, Republic of the","0.592","Medium"
"137","Equatorial Guinea","0.592","Medium"
"138","Kiribati","0.588","Medium"
"139","Laos","0.586","Medium"
"140","Bangladesh","0.579","Medium"
"141","Ghana","0.579","Medium"
"142","Zambia","0.579","Medium"
"143","São Tomé and Príncipe","0.574","Medium"
"144","Cambodia","0.563","Medium"
"145","Nepal","0.558","Medium"
"146","Myanmar","0.556","Medium"
"147","Kenya","0.555","Medium"
"148","Pakistan","0.550","Medium"
"149","Swaziland","0.541","Low"
"150","Syria","0.536","Low"
"151","Angola","0.533","Low"
"152","Tanzania","0.531","Low"
"153","Nigeria","0.527","Low"
"154","Cameroon","0.518","Low"
"155","Papua New Guinea","0.516","Low"
"156","Zimbabwe","0.516","Low"
"157","Solomon Islands","0.515","Low"
"158","Mauritania","0.513","Low"
"159","Madagascar","0.512","Low"
"160","Rwanda","0.498","Low"
"161","Comoros","0.497","Low"
"162","Lesotho","0.497","Low"
"163","Senegal","0.494","Low"
"164","Haiti","0.493","Low"
"165","Uganda","0.493","Low"
"166","Sudan","0.490","Low"
"167","Togo","0.487","Low"
"168","Benin","0.485","Low"
"169","Yemen","0.482","Low"
"170","Afghanistan","0.479","Low"
"171","Malawi","0.476","Low"
"172","Côte d'Ivoire","0.474","Low"
"173","Djibouti","0.473","Low"
"174","Gambia","0.452","Low"
"175","Ethiopia","0.448","Low"
"176","Mali","0.442","Low"
"177","Congo, Democratic Republic of the","0.435","Low"
"178","Liberia","0.427","Low"
"179","Guinea Bissau","0.424","Low"
"180","Eritrea","0.420","Low"
"181","Sierra Leone","0.420","Low"
"182","Mozambique","0.418","Low"
"183","South Sudan","0.418","Low"
"184","Guinea","0.414","Low"
"185","Burundi","0.404","Low"
"186","Burkina Faso","0.402","Low"
"187","Chad","0.396","Low"
"188","Niger","0.353","Low"
"189","Central African Republic","0.352","Low"
